employment_type,required_experience,industry,telecommuting,has_company_logo,total_jobs,fake_jobs,fake_percentage
Other,Internship,NULL,0,1,5,0,0
Full-time,"Not Applicable","Marketing and Advertising",0,1,27,0,0
NULL,NULL,NULL,0,1,2192,27,1.23
Full-time,"Mid-Senior level","Computer Software",0,1,471,2,0.42
Full-time,"Mid-Senior level","Hospital & Health Care",0,1,44,0,0
NULL,NULL,NULL,0,0,759,145,19.1
Full-time,"Mid-Senior level","Online Media",0,1,28,0,0
Full-time,Associate,"Information Technology and Services",0,1,268,0,0
Part-time,"Entry level","Financial Services",0,1,47,0,0
Full-time,"Mid-Senior level","Information Technology and Services",0,0,130,5,3.85
Full-time,Associate,"Management Consulting",0,1,12,1,8.33
Full-time,"Not Applicable","Events Services",0,1,2,0,0
Full-time,Associate,Internet,0,1,199,0,0
Full-time,Executive,"Facilities Services",0,1,1,0,0
Full-time,"Mid-Senior level",Internet,0,1,320,0,0
Full-time,NULL,NULL,0,0,448,19,4.24
Full-time,"Mid-Senior level","Consumer Electronics",0,1,11,0,0
Full-time,"Mid-Senior level",Telecommunications,0,1,88,3,3.41
Full-time,Executive,Internet,0,1,4,0,0
Full-time,Associate,"Online Media",0,1,21,0,0
Full-time,Associate,"Hospital & Health Care",0,1,54,0,0
Full-time,NULL,"Management Consulting",0,0,39,2,5.13
Full-time,"Entry level","Consumer Services",0,1,178,7,3.93
Full-time,"Entry level","Computer Software",0,1,103,0,0
Full-time,Associate,"Computer Software",0,1,202,0,0
Full-time,"Entry level",Construction,0,1,21,0,0
Full-time,NULL,"Oil & Energy",0,1,60,24,40
Full-time,NULL,"Marketing and Advertising",0,1,76,2,2.63
Contract,NULL,"Education Management",0,1,539,0,0
Full-time,"Mid-Senior level","Oil & Energy",0,0,7,1,14.29
Full-time,"Entry level","Financial Services",0,1,176,2,1.14
Full-time,"Entry level","Computer Software",0,0,21,1,4.76
Full-time,NULL,"Building Materials",0,1,54,0,0
Full-time,"Entry level",Banking,0,0,1,0,0
Full-time,"Entry level","Facilities Services",0,1,38,0,0
Full-time,"Entry level","Food & Beverages",0,1,8,0,0
Full-time,"Entry level","Education Management",0,1,10,0,0
Full-time,NULL,"Information Technology and Services",0,1,156,2,1.28
Full-time,Associate,"Financial Services",0,0,24,1,4.17
NULL,NULL,"Hospital & Health Care",0,1,25,0,0
Full-time,"Not Applicable","Information Technology and Services",0,1,70,0,0
Contract,"Entry level","Education Management",0,1,190,0,0
Full-time,"Entry level","Food Production",0,1,15,0,0
Full-time,"Entry level","Hospital & Health Care",0,1,64,0,0
Full-time,NULL,"Computer Software",0,1,134,0,0
Contract,NULL,NULL,0,0,41,2,4.88
Full-time,Associate,Banking,0,1,26,0,0
Full-time,NULL,"Health, Wellness and Fitness",0,0,19,13,68.42
Part-time,"Entry level",Insurance,0,1,5,0,0
Full-time,"Mid-Senior level",E-Learning,0,1,31,0,0
Full-time,"Mid-Senior level","Computer Software",0,0,62,1,1.61
Full-time,"Mid-Senior level",Banking,1,0,5,0,0
Temporary,Associate,Cosmetics,0,1,21,0,0
Part-time,"Entry level","Facilities Services",0,1,24,0,0
Full-time,Associate,"Financial Services",0,1,175,18,10.29
